# Single-day moves over 20% that were checked and are genuine (not a data error).
# validate.py stops flagging a move once it is listed here.
symbol,date,note
AVALON,2026-02-03,Upper circuit
BHEL,2024-06-04,General election results day sell-off in PSUs
DEEPAKFERT,2021-06-10,Upper circuit
KAYNES,2026-05-14,Post-results fall
KEI,2025-02-27,Sector sell-off on UltraTech entering cables & wires
KIRLOSENG,2026-06-22,Upper circuit
MARKSANS,2021-06-11,Upper circuit
NEULANDLAB,2023-05-11,Upper circuit after results
PARACABLES,2026-02-03,Upper circuit
POLYCAB,2024-01-11,Income-tax search disclosure
SUPRIYA,2026-05-29,Upper circuit
THYROCARE,2020-10-07,Upper circuit
ANGELONE,2020-10-27,Upper circuit
CARERATING,2024-10-24,Upper circuit
CENTRALBK,2021-02-18,Upper circuit on privatisation shortlist news
CGCL,2024-03-05,Upper circuit
FINOPB,2022-11-23,Upper circuit
FIVESTAR,2022-12-06,Upper circuit
FUSION,2024-08-07,Lower circuit on asset-quality results
IEX,2025-07-24,CERC market-coupling order
IFCI,2024-01-23,PSU financier rally
INDUSINDBK,2025-03-11,Derivatives accounting discrepancy disclosure
IRFC,2024-01-16,PSU financier rally
PFC,2024-06-04,General election results day sell-off in PSUs
PSB,2025-04-01,High-volume sell-off (15x volume)
RBLBANK,2022-06-13,High-volume sell-off (14x volume)
RECLTD,2024-06-04,General election results day sell-off in PSUs
SAMMAANCAP,2022-05-11,High-volume sell-off after results (8x volume)
TFCILTD,2026-01-02,Lower circuit then upper circuit next day on heavy volume
IIFLCAPS,2021-02-24,Upper circuit
REPCOHOME,2021-02-18,Upper circuit
20MICRONS,2021-09-15,Circuit-limit move
AASTHA,2026-07-22,Circuit-limit move
ADANIENSOL,2023-01-27,Circuit-limit move
ADANIENT,2023-02-01,Heavy volume (3.4x average): news-driven
ADANIENT,2023-02-02,Heavy volume (7.5x average): news-driven
ADANIENT,2023-02-08,Circuit-limit move
ADANIENT,2024-11-21,Heavy volume (19.8x average): news-driven
ADANIGREEN,2024-11-29,Heavy volume (5.0x average): news-driven
ADANIPORTS,2024-06-04,Heavy volume (9.6x average): news-driven
ALICON,2021-03-19,Circuit-limit move
ALICON,2021-07-02,Circuit-limit move
ANANTRAJ,2020-10-06,Rally on heavy volume
ARVSMART,2024-02-06,Circuit-limit move
ASTEC,2023-03-29,Circuit-limit move
ATALREAL,2026-09-09,Circuit-limit move
AURIONPRO,2021-04-09,Circuit-limit move
AUTOIND,2023-12-06,Circuit-limit move
AXISCADES,2021-04-08,Circuit-limit move
AYMSYNTEX,2020-11-18,Circuit-limit move
BAJAJHIND,2021-03-03,Circuit-limit move
BAJAJHIND,2022-12-05,Circuit-limit move
BBL,2024-05-21,Heavy volume (6.0x average): news-driven
BGRENERGY,2021-12-31,Circuit-limit move
BHAGYANGR,2024-02-06,Circuit-limit move
BIRLACABLE,2021-06-21,Circuit-limit move
BLISSGVS,2021-03-15,Circuit-limit move
CHENNPETRO,2020-10-22,Circuit-limit move
COFFEEDAY,2021-04-26,Resumed trading after suspension
COFFEEDAY,2021-05-25,Circuit-limit move
