symbol,name,nse_sector,yahoo_sector,yahoo_industry,mcap_cr,median_traded_value_cr,current_micro_sectors,summary
ORIANA,,,,,21110.0,5.37,,
VMARCIND,,,,,2648.0,10.44,,
ALPEXSOLAR,,,,,2143.0,3.98,,
SAHANA,,,,,1666.0,1.8,,
VINYAS,,,,,1441.0,1.17,,
AIMTRON,,,,,1124.0,4.64,,
TAC,,,,,1053.0,1.39,,
ABSMARINE,,,,,808.0,2.97,,
SUPREMEPWR,,,,,765.0,1.03,,
ACCENTMIC,,,,,688.0,3.75,,
FROG,,,,,497.0,1.04,,
FELIX,,,,,384.0,1.4,,
BAHETI,,,,,297.0,1.49,,
MVKAGRO,,,,,289.0,4.77,,
DPEL,,,,,252.0,1.79,,
PRIZOR,,,,,195.0,1.07,,
OLIL,,,,,61.0,1.24,,
GSMFOILS,,,,,58.0,2.13,,
ADISOFT,,,,,,1.24,,
ALPHA,,,,,,4.33,,
ALPHAETF,,,,,,1.28,,
ANAWIL,,,,,,8.51,,
ANONDITA,,,,,,7.21,,
AONELIQUID,,,,,,1.57,,
ARTEMISMED,Artemis Medicare Services Limited,,,,,11.75,,"Artemis Medicare Services Limited engages in the management and operation of multi-specialty hospitals in India and internationally. The company provides medical and surgical intervention, mix of inpatient and outpatient services. It also offers billing and insurance, childcare, emotional and support program, full body checkup, international patient, medical interpreter and record, mind body medic"
ASHUTOSH,,,,,,4.48,,
AUTOBEES,,,,,,5.12,,
AUTOIETF,,,,,,1.57,,
BANKBEES,,,,,,30.43,,
BANKETF,,,,,,1.19,,
BANKIETF,,,,,,1.77,,
BANKNIFTY1,,,,,,2.3,,
BSLGOLDETF,,,,,,5.03,,
BSLNIFTY,,,,,,2.92,,
C2C,,,,,,1.74,,
CASHIETF,,,,,,14.29,,
CONNPLEX,,,,,,1.06,,
CPSEETF,,,,,,7.04,,
CREDENT,,,,,,4.01,,
DANISH,,,,,,2.72,,
DEFENCE,,,,,,2.19,,
E2ERAIL,,,,,,4.34,,
EBBETF0430,,,,,,1.74,,
EGOLD,,,,,,2.8,,
ELIQUID,,,,,,2.26,,
ENERGY,,,,,,1.58,,
ESILVER,,,,,,2.7,,
FLYSBS,,,,,,6.62,,
FMCGIETF,,,,,,7.82,,ICICI Prudential Mutual Fund - ICICI Prudential Nifty FMCG ETF is an open-ended equity mutual fund co-launched by Prudential plc and ICICI Bank Ltd. It is managed by ICICI Prudential Asset Management Company Limited. The fund invests in the public equity markets of India. It invests in stocks of companies operating in the Fast Moving Consumer Goods sector. The fund invests in growth stocks of comp
FRESHARA,,,,,,1.65,,
GILT5YBEES,,,,,,1.14,,
GOLD1,,,,,,24.98,,
GOLDADD,,,,,,9.15,,
GOLDAXIS,,,,,,26.06,,
GOLDBEES,,,,,,294.18,,
GOLDBETA,,,,,,9.25,,
GOLDCASE,,,,,,23.04,,
GOLDETF,,,,,,20.25,,
GOLDIETF,,,,,,79.35,,
GROWWDEFNC,,,,,,2.22,,
GROWWGOLD,,,,,,3.26,,
GROWWHOSPI,,,,,,1.49,,
GROWWLIQID,,,,,,2.95,,
GROWWPOWER,,,,,,2.02,,
GROWWRAIL,,,,,,1.66,,
GROWWSLVR,,,,,,3.42,,
